
iteration,x,y,theta
368,-1076.853638,-718.397095,-4.514883
369,-1076.853638,-718.397095,-4.514883
370,-1076.853638,-718.397095,-4.514883
371,-1076.853638,-718.397095,-4.514883
372,-1076.853638,-718.397095,-4.514883
373,-1076.853638,-718.397095,-4.514883
374,-1076.853638,-718.397095,-4.514883
375,-1076.853638,-718.397095,-4.514883
376,-1076.853638,-718.397095,-4.514883
377,-1076.853638,-718.397095,-4.514883
378,-1076.853638,-718.397095,-4.514883
379,-1076.853638,-718.397095,-4.514883
380,-1076.853638,-718.397095,-4.514883
381,-1076.853638,-718.397095,-4.514883
382,-1076.853638,-718.397095,-4.514883
383,-1076.853638,-718.397095,-4.514883
384,-1076.853638,-718.397095,-4.514883
385,-1076.853638,-718.397095,-4.514883
386,-1076.853638,-718.397095,-4.514883
387,-1076.853638,-718.397095,-4.514883
388,-1076.853638,-718.397095,-4.514883
389,-1076.853638,-718.397095,-4.514883
390,-1076.853638,-718.397095,-4.514883
391,-1076.853638,-718.397095,-4.514883
392,-1076.853638,-718.397095,-4.514883
393,-1076.853638,-718.397095,-4.514883
394,-1076.853638,-718.397095,-4.514883
395,-1076.853638,-718.397095,-4.514883
396,-1076.853638,-718.397095,-4.514883
397,-1076.853638,-718.397095,-4.514883
398,-1076.853638,-718.397095,-4.514883
399,-1076.853638,-718.397095,-4.514883
400,-1076.853638,-718.397095,-4.514883
401,-1076.853638,-718.397095,-4.514883
402,-1076.853638,-718.397095,-4.514883
403,-1076.853638,-718.397095,-4.514883
404,-1076.853638,-718.397095,-4.514883
405,-1076.853638,-718.397095,-4.514883
406,-1076.853638,-718.397095,-4.514883
407,-1076.853638,-718.397095,-4.514883
408,-1076.853638,-718.397095,-4.514883
409,-1076.853638,-718.397095,-4.514883
410,-1076.853638,-718.397095,-4.514883
411,-1076.853638,-718.397095,-4.514883
412,-1076.853638,-718.397095,-4.514883
413,-1076.853638,-718.397095,-4.514883
414,-1076.853638,-718.397095,-4.514883
415,-1076.853638,-718.397095,-4.514883
416,-1076.853638,-718.397095,-4.514883
417,-1076.853638,-718.397095,-4.514883
418,-1076.853638,-718.397095,-4.514883
419,-1076.853638,-718.397095,-4.514883
420,-1076.853638,-718.397095,-4.514883
421,-1076.853638,-718.397095,-4.514883
422,-1076.853638,-718.397095,-4.514883
423,-1076.853638,-718.397095,-4.514883
424,-1076.853638,-718.397095,-4.514883
425,-1076.853638,-718.397095,-4.514883
426,-1076.853638,-718.397095,-4.514883
427,-1076.853638,-718.397095,-4.514883
428,-1076.853638,-718.397095,-4.514883
429,-1076.853638,-718.397095,-4.514883
430,-1076.853638,-718.397095,-4.514883
431,-1076.853638,-718.397095,-4.514883
432,-1076.853638,-718.397095,-4.514883
433,-1076.853638,-718.397095,-4.514883
434,-1076.853638,-718.397095,-4.514883
435,-1076.853638,-718.397095,-4.514883
436,-1076.853638,-718.397095,-4.514883
437,-1076.853638,-718.397095,-4.514883
438,-1076.853638,-718.397095,-4.514883
439,-1076.853638,-718.397095,-4.514883
440,-1076.853638,-718.397095,-4.514883
441,-1076.853638,-718.397095,-4.514883
442,-1076.853638,-718.397095,-4.514883
443,-1076.853638,-718.397095,-4.514883
444,-1076.853638,-718.397095,-4.514883
445,-1076.853638,-718.397095,-4.514883
446,-1076.853638,-718.397095,-4.514883
447,-1076.853638,-718.397095,-4.514883
448,-1076.853638,-718.397095,-4.514883
449,-1076.853638,-718.397095,-4.514883
450,-1076.853638,-718.397095,-4.514883
451,-1076.853638,-718.397095,-4.514883
452,-1076.853638,-718.397095,-4.514883
453,-1076.853638,-718.397095,-4.514883
454,-1076.853638,-718.397095,-4.514883
455,-1076.853638,-718.397095,-4.514883
456,-1076.853638,-718.397095,-4.514883
457,-1076.853638,-718.397095,-4.514883
458,-1076.853638,-718.397095,-4.514883
459,-1076.853638,-718.397095,-4.514883
460,-1076.853638,-718.397095,-4.514883
461,-1076.853638,-718.397095,-4.514883
462,-1076.853638,-718.397095,-4.514883
