
iteration,x,y,theta
425,2288.014648,-225.932343,8.313945
426,2288.014648,-225.932343,8.313945
427,2288.014648,-225.932343,8.313945
428,2288.014648,-225.932343,8.313945
429,2288.014648,-225.932343,8.313945
430,2288.014648,-225.932343,8.313945
431,2288.014648,-225.932343,8.313945
432,2288.014648,-225.932343,8.313945
433,2288.014648,-225.932343,8.313945
434,2288.014648,-225.932343,8.313945
435,2288.014648,-225.932343,8.313945
436,2288.014648,-225.932343,8.313945
437,2288.014648,-225.932343,8.313945
438,2288.014648,-225.932343,8.313945
439,2288.014648,-225.932343,8.313945
440,2288.014648,-225.932343,8.313945
441,2288.014648,-225.932343,8.313945
442,2288.014648,-225.932343,8.313945
443,2288.014648,-225.932343,8.313945
444,2288.014648,-225.932343,8.313945
445,2288.014648,-225.932343,8.313945
446,2288.014648,-225.932343,8.313945
447,2288.014648,-225.932343,8.313945
448,2288.014648,-225.932343,8.313945
449,2288.014648,-225.932343,8.313945
450,2288.014648,-225.932343,8.313945
451,2288.014648,-225.932343,8.313945
452,2288.014648,-225.932343,8.313945
453,2288.014648,-225.932343,8.313945
454,2288.014648,-225.932343,8.313945
455,2288.014648,-225.932343,8.313945
456,2288.014648,-225.932343,8.313945
457,2288.014648,-225.932343,8.313945
458,2288.014648,-225.932343,8.313945
459,2288.014648,-225.932343,8.313945
460,2288.014648,-225.932343,8.313945
461,2288.014648,-225.932343,8.313945
462,2288.014648,-225.932343,8.313945
463,2288.014648,-225.932343,8.313945
464,2288.014648,-225.932343,8.313945
465,2288.014648,-225.932343,8.313945
466,2288.014648,-225.932343,8.313945
467,2288.014648,-225.932343,8.313945
468,2288.014648,-225.932343,8.313945
469,2288.014648,-225.932343,8.313945
470,2288.014648,-225.932343,8.313945
471,2288.014648,-225.932343,8.313945
472,2288.014648,-225.932343,8.313945
473,2288.014648,-225.932343,8.313945
474,2288.014648,-225.932343,8.313945
475,2288.014648,-225.932343,8.313945
476,2288.014648,-225.932343,8.313945
477,2288.014648,-225.932343,8.313945
478,2288.014648,-225.932343,8.313945
479,2288.014648,-225.932343,8.313945
480,2288.014648,-225.932343,8.313945
481,2288.014648,-225.932343,8.313945
482,2288.014648,-225.932343,8.313945
483,2288.014648,-225.932343,8.313945
484,2288.014648,-225.932343,8.313945
485,2288.014648,-225.932343,8.313945
486,2288.014648,-225.932343,8.313945
487,2288.014648,-225.932343,8.313945
488,2288.014648,-225.932343,8.313945
489,2288.014648,-225.932343,8.313945
490,2288.014648,-225.932343,8.313945
491,2288.014648,-225.932343,8.313945
492,2288.014648,-225.932343,8.313945
493,2288.014648,-225.932343,8.313945
494,2288.014648,-225.932343,8.313945
495,2288.014648,-225.932343,8.313945
496,2288.014648,-225.932343,8.313945
497,2288.014648,-225.932343,8.313945
498,2288.014648,-225.932343,8.313945
499,2288.014648,-225.932343,8.313945
500,2288.014648,-225.932343,8.313945
501,2288.014648,-225.932343,8.313945
502,2288.014648,-225.932343,8.313945
503,2288.014648,-225.932343,8.313945
504,2288.014648,-225.932343,8.313945
505,2288.014648,-225.932343,8.313945
506,2288.014648,-225.932343,8.313945
507,2288.014648,-225.932343,8.313945
508,2288.014648,-225.932343,8.313945
509,2288.014648,-225.932343,8.313945
510,2288.014648,-225.932343,8.313945
511,2288.014648,-225.932343,8.313945
512,2288.014648,-225.932343,8.313945
513,2288.014648,-225.932343,8.313945
514,2288.014648,-225.932343,8.313945
515,2288.014648,-225.932343,8.313945
516,2288.014648,-225.932343,8.313945
517,2288.014648,-225.932343,8.313945
518,2288.014648,-225.932343,8.313945
519,2288.014648,-225.932343,8.313945
520,2288.014648,-225.932343,8.313945
521,2288.014648,-225.932343,8.313945
522,2288.014648,-225.932343,8.313945
523,2288.014648,-225.932343,8.313945
524,2288.014648,-225.932343,8.313945
525,2288.014648,-225.932343,8.313945
526,2288.014648,-225.932343,8.313945
527,2288.014648,-225.932343,8.313945
528,2288.014648,-225.932343,8.313945
529,2288.014648,-225.932343,8.313945
530,2288.014648,-225.932343,8.313945
531,2288.014648,-225.932343,8.313945
532,2288.014648,-225.932343,8.313945
533,2288.014648,-225.932343,8.313945
534,2288.014648,-225.932343,8.313945
535,2288.014648,-225.932343,8.313945
536,2288.014648,-225.932343,8.313945
537,2288.014648,-225.932343,8.313945
538,2288.014648,-225.932343,8.313945
539,2288.014648,-225.932343,8.313945
540,2288.014648,-225.932343,8.313945
541,2288.014648,-225.932343,8.313945
542,2288.014648,-225.932343,8.313945
543,2288.014648,-225.932343,8.313945
544,2288.014648,-225.932343,8.313945
545,2288.014648,-225.932343,8.313945
546,2288.014648,-225.932343,8.313945
547,2288.014648,-225.932343,8.313945
548,2288.014648,-225.932343,8.313945
549,2288.014648,-225.932343,8.313945
550,2288.014648,-225.932343,8.313945
551,2288.014648,-225.932343,8.313945
552,2288.014648,-225.932343,8.313945
553,2288.014648,-225.932343,8.313945
554,2288.014648,-225.932343,8.313945
555,2288.014648,-225.932343,8.313945
556,2288.014648,-225.932343,8.313945
